coddept,codmpio,codpoblado,department,municipio,refined_name_key
19,19100,19100000,CAUCA,BOLï¿_VAR,bolï¿_var
19,19110,19110000,CAUCA,BUENOS AIRES,buenos aires
19,19130,19130000,CAUCA,CAJIBï¿_O,cajibio
19,19137,19137000,CAUCA,CALDONO,caldono
19,19142,19142000,CAUCA,CALOTO,caloto
19,19212,19212000,CAUCA,CORINTO,corinto
19,19256,19256000,CAUCA,EL TAMBO,el tambo
19,19290,19290000,CAUCA,FLORENCIA,florencia
19,19300,19300000,CAUCA,GUACHENï¿_,guachenï¿_
19,19318,19318000,CAUCA,GUAPï¿_,guapï¿_
19,19355,19355000,CAUCA,INZï¿_,inzï¿_
19,19364,19364000,CAUCA,JAMBALï¿_,jambalï¿_
19,19392,19392000,CAUCA,LA SIERRA,la sierra
19,19397,19397000,CAUCA,LA VEGA,la vega
19,19418,19418000,CAUCA,Lï¿_PEZ DE MICAY,lï¿_pez de micay
19,19450,19450000,CAUCA,MERCADERES,mercaderes
19,19455,19455000,CAUCA,MIRANDA,miranda
19,19473,19473000,CAUCA,MORALES,morales
19,19513,19513000,CAUCA,PADILLA,padilla
19,19517,19517000,CAUCA,Pï¿_EZ,pï¿_ez
19,19532,19532000,CAUCA,PATï¿_A,patï¿_a
19,19533,19533000,CAUCA,PIAMONTE,piamonte
19,19548,19548000,CAUCA,PIENDAMï¿_,piendamï¿_
19,19573,19573000,CAUCA,PUERTO TEJADA,puerto tejada
19,19585,19585000,CAUCA,PURACï¿_,puracï¿_
19,19622,19622000,CAUCA,ROSAS,rosas
19,19693,19693000,CAUCA,SAN SEBASTIï¿_N,san sebastiï¿_n
19,19698,19698000,CAUCA,SANTANDER DE QUILICHAO,santander de quilichao
19,19701,19701000,CAUCA,SANTA ROSA,santa rosa
19,19743,19743000,CAUCA,SILVIA,silvia
19,19760,19760000,CAUCA,SOTARA,sotarï¿_
19,19780,19780000,CAUCA,SUï¿_REZ,suarez
19,19785,19785000,CAUCA,SUCRE,sucre
19,19807,19807000,CAUCA,TIMBï¿_O,timbï¿_o
19,19809,19809000,CAUCA,TIMBIQUï¿_,timbiquï¿_
19,19821,19821000,CAUCA,TORIBï¿_O,toribï¿_o
19,19824,19824000,CAUCA,TOTORï¿_,totorï¿_
19,19845,19845000,CAUCA,VILLA RICA,villa rica
20,20001,20001000,CESAR,VALLEDUPAR,valledupar
20,20011,20011000,CESAR,AGUACHICA,aguachica
20,20013,20013000,CESAR,AGUSTï¿_N CODAZZI,agustï¿_n codazzi
20,20032,20032000,CESAR,ASTREA,astrea
20,20045,20045000,CESAR,BECERRIL,becerril
